Key,Transcription
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_001.mp3,at least 3-4 months के बाद मैंने फिर से कल्पवालों को call किया था
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_002.mp3,"और मैंको वहीं से online से ये मुझे offer price मिला था 12,600 का."
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_003.mp3,ही होता है जैसे कि आप भी आप समझ लीजिए आपका membership expire होके एक week हो गया तब अगर आप
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_004.mp3,तब purchase कर लेते हो तो आपको मिल जाता है
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_007.mp3,"meanwhile I was checking with my friends के मेरे friends का हो गया था, I'll get an extension of 1111 month करके,"
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_008.mp3,So we were checking with the pricing तो बहुत ज्यादा costly जा रहा था अगर कुछ आप help कर सकते हैं दो जनों का
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_009.mp3,देखिया अगर इसमें retention plan आ गया तो he will make the payment
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_011.mp3,आप ऐसे भी कर सकते हो सर का और एक number available है जहां पर आप
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_014.mp3,जैसे कि समझ लीजिए कभी-कभी आपको membership के साथ cashback आता है
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_016.mp3,जब आपको cashback आएगा तो आप उन्हें refer करके 500 का discount भी मिल जाएगा और 1200 या 1500 का amazon voucher का cashback भी मिल जाएगा उनको
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_017.mp3,अगर उसके लिए भी आपको call करके update करवाना हो तो जब भी वो offer आएगा मैं आपको call करके update करा दूँगा
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_019.mp3,बता रहा हूँ एक minute अगर आप आज proceed करते हो membership के लिए आपका
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_025.mp3,अगर ये pay करेंगे तो मुझे कुछ इसका benefit मिलेंगा
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_026.mp3,"तो अगर आप सर पर्सेस करेंगे तो ये membership उनके लिए 13,997 पड़ेगा."
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_027.mp3,क्योंकि 500 का ही discount apply होता है ना उजर का
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_031.mp3,क्योंकि अगर मैंने discount activate कर दिया और sir ने purchase कर लिया
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_032.mp3,"तो आपको 1 month extension नहीं मिलेगा, अगर आप रफ्सर करते हो, उनको 500 का discount मिलेगा, और 1 month का extension आपको मिलेगा."
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_033.mp3,एक friend को purchase करवाना चाहते हैं अगर आप अपने application में available हैं
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_034.mp3,"तो आप अपने top left corner में profile icon रहेगा,"
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_035.mp3,क्लिक करने के बाद आपको यूजर पे एक option आएगा refer a friend
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2604500_2025_01_17_12_23_GMT_384_segment_039.mp3,अगर if in case by end of the day अगर mind change करते हो
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_001.mp3,तो दो नंबर से membership लेनी मुझे वाला इंडियार थी
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_002.mp3,आप इसी number से plan करें right जिस number से अभी मैं call कर रहा हूँ आपको
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_004.mp3,"अगर आप लक्नो के लिए All India Park देख रहे हैं तो अभी इसका cost शो है,"
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_005.mp3,"sorry, 25,500 रुपीज के करीब में था अच्छा ठीक है"
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_006.mp3,offer चल रहा है तो prices जो है आज आपको
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_009.mp3,क्योंकि मैंने यहां पे capture किया हुआ था इसलिए मैं आपको बता रहा था
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_010.mp3,"anyways तो अभी ये जो आपको 25,000 रुपेस cost पढ़ रहा है इसमें जो है आपको"
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_014.mp3,"अभी जो इसका price जो है 25,000 मैं आपको discount होने के बाद 24,250 रुपीज तक करवा सकता हूँ sir."
s3://label-studio-in/STT_Audio_Datasets/Cult_Source/2451171_2025_02_01_07_00_GMT_384_segment_015.mp3,यहां पे एक और option मैं आपको दे रहा हूँ लेकिन जैसे ही आप membership लोगे
