file_id,ground_truth,hypothesis,wer,cer
sample_0000,बास रीसेट कर, बास रीसेट कर,0.0,0.0
sample_0001,बास रीसेट कर, बास रीसेट कर,0.0,0.0
sample_0002,बास रीसेट कर, बस रीसेट कर,0.3333333333333333,0.08333333333333333
sample_0003,बास रीसेट कर, बास रीसेट कर,0.0,0.0
sample_0004,बास रीसेट कर, बास रीसेट कर,0.0,0.0
sample_0005,बास रीसेट कर, ब्राऊझ रीसेट कर,0.3333333333333333,0.3333333333333333
sample_0006,बास रीसेट कर, बास रीसेट कर,0.0,0.0
sample_0007,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0008,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0009,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0010,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0011,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0012,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0013,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0014,ब्राईटनेस वाढव, ब्राईटनेस वाढव,0.0,0.0
sample_0015,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0016,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0017,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0018,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0019,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0020,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0021,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0022,एसी बंद कर, एसी बंद कर,0.0,0.0
sample_0023,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0024,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0025,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0026,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0027,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0028,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0029,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0030,हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर, हे सॉन्ग पॉझ करून नेक्स्ट प्ले कर,0.0,0.0
sample_0031,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0032,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0033,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0034,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0035,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0036,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0037,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0038,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0039,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0040,प्लीज या आधीचं गाणं पुन्हा सुरु कर आणि वॉल्यूम वाढव, प्लीज या आधीचं गाणं पुन्हा सुरू कर आणि वॉल्यूम वाढव,0.1,0.0196078431372549
sample_0041,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0042,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0043,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0044,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा वाजव,0.14285714285714285,0.19444444444444445
sample_0045,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0046,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0047,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0048,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणी लूप मध्ये पुन्हा पुन्हा वाजव,0.14285714285714285,0.027777777777777776
sample_0049,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0050,हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव, हे गाणं लूप मध्ये पुन्हा पुन्हा वाजव,0.0,0.0
sample_0051,व्हिडिओ पुन्हा सुरू कर, व्हिडिओ पुन्हा सुरू कर,0.0,0.0
